identificador;nombre
AUD;Dólar australiano
BRL;Real brasileño
GBP;Libra esterlina
CAD;Dólar canadiense
CLP;Peso chileno
CNY;Yuan chino
EGP;Libra egipcia
EUR;Euro
HKD;Dólar de Hong Kong
INR;Rupia india
JPY;Yen japonés
MXN;Peso mexicano
NZD;Dólar neozelandés
NOK;Corona noruega
PKR;Rupia pakistaní
RON;Leu rumano
RUB;Rublo ruso
SGD;Dólar de Singapur
ZAR;Rand sudafricano
KRW;Won coreano
CHF;Franco suizo
USD;Dólar estadounidense
DKK;Corona danesa
PLN;Zloty polaco	
SEK;Corona sueca
TRY;Lira turca
XAG;Onza de plata
XAU;Oro y plata de Philadelphia
BTC;Bitcoin
ETH;Etherium
LTC;Litecoin
XRP;Ripple
DSH;Dash Alemán
BCH;Bitcoin Cash